Constituent ID,Gift Amount 17-18,Gift Count 17-18,Gift Amount 16-17,Gift Count 16-17,Gift Amount 15-16,Gift Count 15-16,Gift Amount 14-15,Gift Count 14-15,Gift Amount 13-14,Gift Count 13-14,Gift Amount 12-13,Gift Count 12-13,Gift Amount 11-12,Gift Count 11-12,Gift Amount 10-11,Gift Count 10-11,Gift Amount 09-10,Gift Count 09-10,Gift Amount 08-09,Gift Count 08-09,Lifetime Giving,Appeals in 17-18,Appeals in 16-17,Appeals in 15-16,Appeals in 14-15,Appeals in 13-14,Appeals in 12-13,Appeals in 11-12,Appeals in 10-11,Appeals in 09-10,Appeals in 08-09,Zip Code,Board Member,Business,Captial Campaign Steering Committee,Client,Congregation Group,Congregation,CoC Member,Donor,EECM Staff,Family Foundation,Former CoC Member,Friend,Government,H Event Invitee,Hospital,Keeper,Major Donor,Mid-level Donor,Polititian,Prospect,Vendor,Volunteer,Young Professional,Congregation Affiliation,Email Domain,Spouse?,Primary Phone Area Code
14262,"$5,000.00 ",1,"$2,700.00 ",1,"$2,500.00 ",2,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,"$10,200.00 ",0,0,1,0,0,0,0,0,0,0,15211,,,,,,,,,,,,,,,,,Major Donor,Mid-level Donor,,,,,,,@yahoo.com,y,201
23683,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15217,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,,,201
23570,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15218,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@gmail.com,,201
12689,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$80.00 ,1,$75.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$155.00 ,1,0,4,0,0,0,0,0,0,0,15212,,,,,,,,Donor,,,,,,,,,,,,,,,,,@yahoo.com,,202
12240,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$80.00 ,1,$0.00 ,0,$0.00 ,0,$80.00 ,1,0,1,0,0,0,4,0,0,0,15216,,,,,,,,Donor,,,,,,,,,,,,,,,,,,,202
23470,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15217,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@gmail.com,,202
9984,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,1,0,0,0,4,1,0,0,15221,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@pitt.edu,,202
11950,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$250.00 ,1,$250.00 ,1,$250.00 ,1,$250.00 ,1,$0.00 ,0,$0.00 ,0,"$1,000.00 ",1,0,4,0,0,0,4,1,0,0,20003,,,,,,,,Donor,,,,,,,,,,,,,,,,,@gwu.edu,y,202
9624,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$75.00 ,1,$275.00 ,1,0,2,0,0,0,5,3,3,3,20015,,,,,,,,Donor,,,,,,,,,,,,,,,,,,y,202
10668,$0.00 ,0,$0.00 ,0,$160.00 ,2,$0.00 ,0,$0.00 ,0,$50.00 ,1,$25.00 ,1,$25.00 ,1,$0.00 ,0,$0.00 ,0,$260.00 ,3,0,1,0,0,0,4,2,3,1,20019,,,,,,,,Donor,,,,,,,,,,,,,,,,,@yahoo.com,,202
22272,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Prospect,,Volunteer,,,@gmail.com,,202
22258,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Prospect,,Volunteer,,,@gmail.com,,203
23750,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15065,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@duq.edu,,206
23441,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15232,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@gmail.com,,206
17855,$280.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$280.00 ,0,0,0,0,0,0,0,0,0,0,98115,,,,,,,,Donor,,,,,,,,,,,,,,,,,@juno.com,,206
19456,$0.00 ,0,$0.00 ,0,$0.00 ,0,$50.00 ,1,$50.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$700.00 ,1,0,2,0,0,0,5,3,3,2,04612,,,,,,,,Donor,,,,,,,,,,,,,,,,,,y,207
10795,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,1,0,0,0,4,2,1,0,04860,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@yahoo.com,,207
9533,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$50.00 ,1,$240.00 ,2,$46.50 ,2,$0.00 ,0,$336.50 ,1,0,3,0,0,0,4,2,0,2,15218,,,,,,,,,,,,,,,,,,,,,,Volunteer,,Waverly United Presbyterian Church,@gmail.com,,210
23651,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15232,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@chatham.edu,,210
21271,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,0,0,0,0,0,0,0,0,10021,,,,,,,,,,,,,,,,,,,,Prospect,,,,,,,212
12678,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$570.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$570.00 ,1,0,3,0,0,0,0,0,0,0,10023,,,,,,,,Donor,,,,,,,,,,,,,,,,,@barcap.com,,212
23537,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15206,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@northway.org,,215
23816,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15213,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@gmail.com,,215
14586,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,0,0,0,0,0,0,0,0,15224,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,,,215
19111,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$10.00 ,1,0,1,0,0,0,4,2,3,2,18901,,,,,,,,Donor,,,,,,,,,,,,,,,,,,,215
10498,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$276.00 ,2,$562.00 ,4,$275.00 ,2,$390.00 ,2,"$1,503.00 ",1,0,3,0,0,0,4,2,3,1,18901,,,,,,,,Donor,,,,,,,,,,,,,,,,,@yahoo.com,y,215
11463,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$50.00 ,1,$0.00 ,0,$50.00 ,0,0,2,0,0,0,4,2,0,0,19038,,,,,,,,Donor,,,,,,,,,,,,,,,,,@yahoo.com,,215
23637,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,19047,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@gmail.com,,215
15927,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,1,0,0,0,0,0,0,0,19114,,,,,,,,,,,,,,,,,,,,Prospect,,,,,@verizon.com,,215
10562,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,1,0,0,0,4,2,3,0,20005,,,,,,,,Donor,,,,,,,,,,,,,,,,,@gmail.com,,215
12579,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$25.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$25.00 ,1,0,2,0,0,0,0,0,0,0,21403,,,,,,,,Donor,,,,,,,,,,,,,,,,,@gmail.com,,215
23046,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Prospect,,Volunteer,,,@icloud.com,,215
12682,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$15.00 ,1,$0.00 ,0,$0.00 ,0,$0.00 ,0,$15.00 ,1,0,3,0,0,0,0,0,0,0,15217,,,,,,,,Donor,,,,,,,,,,,,,,,,,@gmail.com,,216
23031,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Prospect,,Volunteer,,,@gmail.com,,219
23192,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,70448,,,,,,,,Donor,,,,,,,,,,,,,,,,,@gmail.com,,225
23497,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15213,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,,,231
23834,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15206,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@jcu.edu,,234
23410,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15206,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@duq.edu,,240
23833,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15219,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,,,240
23724,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,0,0,0,0,0,0,0,0,0,15232,,,,,,,,,,,,,,,,,,,,,,Volunteer,,,@pitt.edu,,240
12578,$0.00 ,0,$0.00 ,0,$0.00 ,0,$35.00 ,1,$175.00 ,3,$63.00 ,1,$425.00 ,5,$0.00 ,0,$0.00 ,0,$0.00 ,0,$698.00 ,1,0,1,0,0,0,0,0,0,0,15232,,,,,,,Council of Congregations Member,,,,,,,,,,,,,,,,,East Liberty Presbyterian Church,@gmail.com,,240
10888,$100.00 ,1,$100.00 ,1,$100.00 ,1,$0.00 ,0,$100.00 ,1,$200.00 ,1,$250.00 ,2,$200.00 ,2,$275.00 ,2,$0.00 ,0,"$1,325.00 ",1,0,1,0,0,0,3,3,3,0,20814,,,,,,,,Donor,EECM Staff Member,,,,,,,,,,,,,,,,@mail.nih.gov,y,240
14135,$0.00 ,0,$0.00 ,0,$100.00 ,1,$250.00 ,2,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$350.00 ,1,0,1,0,0,0,0,0,0,0,20817,,,,,,,,Donor,,,,,,,,,,,,,,,,,@gmail.com,,240
20958,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,1,0,0,0,0,0,0,0,0,0,15147,,,,,,,,,,,,,,,,,,,,,,Volunteer,,Lincoln Avenue Church of God,,,241
